date,Baseline_V47+I3,Idea_A_VIX_calls,Idea_B_CDaR,Idea_B2_CDaR_comb,Idea_C_VVIX,Idea_D_Dyn_strike,Idea_E_Gap_regime,Idea_G_D+A_combo
2015-02-28,2423724.3352118423,3092508.479589986,2185599.1466047396,2234531.4503253773,2412165.0318933167,2520514.9670812553,2289510.465306977,3225435.3754156884
2015-03-31,2776374.266085391,3532552.130274824,2478721.2413425813,2539543.856927811,2763133.091000837,2920329.897997909,2622632.385910075,3726562.93026779
2015-04-30,2820782.5758287217,3578234.097224343,2518321.2911601537,2580118.321982187,2807329.60690615,2967040.7882008627,2661046.962110637,3774753.789405194
2015-05-31,2975605.0774007775,3763463.55491759,2656542.791574077,2721731.6377502736,2961413.7229821566,3129890.869880902,2807102.1562369084,3970156.205181216
2015-06-30,3146352.3480009143,3967662.831987229,2808981.5113615175,2877911.0490277833,3131346.6590584316,3309491.423298747,2968180.329634249,4185570.2788174036
2015-07-31,3050348.432662665,3834985.7851503957,2723271.7140844855,2790098.0203031404,3035800.609327119,3208509.6842382792,2879678.3392390413,4045606.4966371423
2015-08-31,2795738.1686694613,3503826.7769036144,2495962.296186036,2557210.659961121,2782404.6425075764,2940697.8231272995,2638666.3564979206,3696259.956279745
2015-09-30,2938385.0277201473,3762919.214619485,2623313.7069943952,2687687.1414798656,2924371.189746256,3154548.108226956,2773226.0483196387,4050276.282753852
2015-10-31,2944515.5916091586,3793982.924698207,2628786.9148971117,2693294.6563503505,2930472.51551153,3161129.6686288095,2776697.6368188444,4083712.179237282
2015-11-30,3022903.5838706326,3883928.106872621,2698769.674475332,2764994.7218307154,3008486.656711545,3245284.293747987,2850618.030797052,4180526.065758163
2015-12-31,2740769.615096684,3530716.546378686,2446887.8092057644,2506931.9311949983,2727698.2522345837,2942395.0668322076,2584563.8364653504,3800341.343479881
2016-01-31,2726185.3770983187,3533550.8068199595,2433867.381050561,2493591.9949458856,2713183.569951309,2926737.9356059427,2570810.803792756,3803392.0418553646
2016-02-29,2726185.3770983187,3557465.8755899114,2433867.381050561,2493591.9949458856,2713183.569951309,2926737.9356059427,2570810.803792756,3829133.3958293735
2016-03-31,2912925.418208918,3789550.125679438,2600584.0291114924,2664399.701151174,2899033.0011942447,3127215.5493219704,2746907.8858192,4078940.8579058577
2016-04-30,3018087.2621061713,3914636.976055685,2694469.7116284305,2760589.260219978,3003693.2997970297,3240113.702870003,2846076.1586729167,4213580.02165279
2016-05-31,3190027.559157434,4137502.1026173676,2847973.5290302574,2917859.9067519302,3174813.5722581088,3424702.8358706464,3008216.9905653666,4453464.343452913
2016-06-30,3004220.946362169,3913400.7538333894,2682090.225108256,2747905.9938167557,2987113.6384850796,3225227.3084941525,2841001.2721541338,4212249.3936106
2016-07-31,3087888.3956808075,4010140.190125611,2756786.2693910245,2824435.020885273,3067705.2777648373,3315049.82823252,2920123.0213272627,4316376.405245019
2016-08-31,3195111.362119584,4137802.1039542085,2852512.137935829,2922509.9063835437,3174227.410586967,3430160.683678309,3021520.5502364505,4453787.279208585
2016-09-30,3104423.0506888065,4008050.271821068,2771547.977996557,2839558.967091573,3084131.8585048057,3332800.8601529333,2942468.9246512554,4314126.889472644
2016-10-31,2835164.6723998063,3648246.3334170366,2531161.1182034975,2593273.254645006,2816633.413975793,3043734.410691521,2689444.258207134,3926846.359865397
2016-11-30,2933382.0001709396,3763062.631111226,2618846.987628247,2683110.847437563,2914208.771041838,3149177.12484141,2782613.459774392,4050430.656290235
