date,equity,peak,dd_pct
2025-01-13,55735336.946559295,95022487.32464807,-41.3451083887782
2025-01-13,55708767.77092978,95022487.32464807,-41.37306932347647
2025-01-13,55701572.035031684,95022487.32464807,-41.38064198980072
2025-01-13,55700918.44507749,95022487.32464807,-41.38132981641166
2025-01-13,55667892.57792089,95022487.32464807,-41.41608566009292
2025-01-13,55710320.24447109,95022487.32464807,-41.37143552753509
2025-01-13,55687551.154327534,95022487.32464807,-41.395397318880086
2025-01-13,55642020.64613164,95022487.32464807,-41.443312827595754
2025-01-13,55550795.98829955,95022487.32464807,-41.5393160584104
2025-01-13,55581843.49854235,95022487.32464807,-41.50664220286636
2025-01-13,55637316.1840044,95022487.32464807,-41.44826372107339
2025-01-13,55626509.0233044,95022487.32464807,-41.45963698755406
2025-01-13,55627210.90380441,95022487.32464807,-41.45889834081921
2025-01-13,55636726.73710441,95022487.32464807,-41.448884044658456
2025-01-13,55648802.47040441,95022487.32464807,-41.4361757546105
2025-01-13,55609751.11180441,95022487.32464807,-41.47727271986524
2025-01-13,55573558.53593315,95022487.32464807,-41.51536115228819
2025-01-14,55583486.66710267,95022487.32464807,-41.504912961076776
2025-01-14,55635181.261693284,95022487.32464807,-41.450510475890304
2025-01-14,55691256.17630029,95022487.32464807,-41.39149821870173
2025-01-14,55753729.9912404,95022487.32464807,-41.325751870969675
2025-01-14,55746502.464120045,95022487.32464807,-41.33335799381895
2025-01-14,55740932.49482004,95022487.32464807,-41.33921973187362
2025-01-14,55737764.735720046,95022487.32464807,-41.342553426022434
2025-01-14,55688484.83251663,95022487.32464807,-41.394414732320435
2025-01-14,55685254.16081663,95022487.32464807,-41.39781463458668
2025-01-14,55705900.725616634,95022487.32464807,-41.376086551707246
2025-01-14,55726321.76451664,95022487.32464807,-41.3545958083317
2025-01-15,55917657.43504059,95022487.32464807,-41.15323750261797
2025-01-15,56058706.371781096,95022487.32464807,-41.00480007405582
2025-01-15,56109025.422354765,95022487.32464807,-40.951845187280696
2025-01-15,56145495.843381606,95022487.32464807,-40.91346435548639
2025-01-15,56224103.77310139,95022487.32464807,-40.83073874817702
2025-01-15,56322933.245429486,95022487.32464807,-40.726732343892486
2025-01-15,56397448.00569324,95022487.32464807,-40.64831431636899
2025-01-15,56488777.09383543,95022487.32464807,-40.55220118492658
2025-01-15,56558716.18312854,95022487.32464807,-40.478598513325096
2025-01-15,56684014.296144806,95022487.32464807,-40.34673697555228
2025-01-15,56744478.648812264,95022487.32464807,-40.28310535069186
2025-01-15,56839886.658104025,95022487.32464807,-40.18269963413154
2025-01-15,56902586.28515643,95022487.32464807,-40.11671564569079
2025-01-15,56931799.67025643,95022487.32464807,-40.08597199129645
2025-01-15,57055281.54180362,95022487.32464807,-39.95602183420856
2025-01-15,57097877.77670362,95022487.32464807,-39.911194303274264
2025-01-15,57125409.61640362,95022487.32464807,-39.88222027778287
2025-01-15,57202529.31050362,95022487.32464807,-39.8010608635523
2025-01-15,57245169.07900362,95022487.32464807,-39.756187518620465
2025-01-15,57321958.5847387,95022487.32464807,-39.67537558883723
2025-01-15,57374025.56423975,95022487.32464807,-39.62058121229859
2025-01-15,57415323.85436618,95022487.32464807,-39.577119615692155
2025-01-15,57529050.20581823,95022487.32464807,-39.457435996946735
2025-01-15,57511463.2194146,95022487.32464807,-39.47594423315355
2025-01-16,57731732.0514413,95022487.32464807,-39.24413717544715
2025-01-16,57816988.79403389,95022487.32464807,-39.15441447401827
2025-01-16,57890079.7684478,95022487.32464807,-39.07749481376543
2025-01-16,57951776.97741187,95022487.32464807,-39.01256575254934
2025-01-16,58004176.16524487,95022487.32464807,-38.95742176578548
2025-01-16,58087438.59072234,95022487.32464807,-38.86979784872994
2025-01-16,58214674.63247949,95022487.32464807,-38.73589686872039
2025-01-16,58281740.36905779,95022487.32464807,-38.66531806314864
2025-01-16,58397178.051198445,95022487.32464807,-38.54383346998465
2025-01-16,58479997.864957236,95022487.32464807,-38.45667534974324
2025-01-16,58530798.859408654,95022487.32464807,-38.403213273679235
2025-01-16,58568797.04553421,95022487.32464807,-38.36322464867541
2025-01-16,58569002.906623445,95022487.32464807,-38.36300800407367
2025-01-16,58561817.685039766,95022487.32464807,-38.370569605317726
2025-01-16,58537633.46293977,95022487.32464807,-38.396020656727664
2025-01-16,58527855.49623977,95022487.32464807,-38.40631081748361
2025-01-16,58518512.036239766,95022487.32464807,-38.41614371100499
2025-01-16,58530024.72613977,95022487.32464807,-38.40402795796153
2025-01-16,58557846.90933977,95022487.32464807,-38.374748380060204
2025-01-16,58683673.385305345,95022487.32464807,-38.24233080238126
2025-01-17,58738865.01024556,95022487.32464807,-38.184248103754726
2025-01-17,58799927.34868114,95022487.32464807,-38.11998716915411
2025-01-17,58840662.76485362,95022487.32464807,-38.077117931230134
2025-01-17,58900125.75075362,95022487.32464807,-38.014540127202714
2025-01-17,58878324.244853616,95022487.32464807,-38.03748364985069
2025-01-17,58903009.83345362,95022487.32464807,-38.01150496912466
2025-01-17,58917849.04645362,95022487.32464807,-37.99588844148178
2025-01-17,58933170.52195362,95022487.32464807,-37.979764389237545
2025-01-21,58982931.55402429,95022487.32464807,-37.92739675135341
2025-01-21,59064474.69504805,95022487.32464807,-37.841582179119406
2025-01-21,59080474.512648046,95022487.32464807,-37.82474425153987
2025-01-21,59101250.425848044,95022487.32464807,-37.80288004467164
2025-01-21,59116049.63874804,95022487.32464807,-37.787305612432846
